publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Chinese capitalism moving the mountain /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7439	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100007439	RAW
Human rights in China									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7440	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100007440	RAW
Double helix									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7453	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100007453	RAW
Human reproductive biology									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7464	Elsevier Science (Firm)			fulltext		 Films Media Group,									100007464	RAW
A Human life emerges									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7465	Elsevier Science (Firm)			fulltext		 Films Media Group,									100007465	RAW
Keyhole surgery laparoscopic and arthroscopic techniques /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7472	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100007472	RAW
Don Quixote legacy of a classic /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7504	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100007504	RAW
Nathaniel Hawthorne									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7512	Bride Media International.			fulltext		 Films Media Group,									100007512	RAW
Multiple genders mind and body in conflict /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7514	CTVC (Firm)			fulltext		 Films Media Group,									100007514	RAW
A report from the Harvard Business School leadership /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7537	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007537	RAW
Eastern Europe 1900-1939 /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7560	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007560	RAW
A World inscribed illuminated manuscript /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7619	McDonough, Kathleen A.			fulltext		 Films Media Group,									100007619	RAW
Don't kill yourself one survivor's message /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7652	Cooper Rock Pictures.			fulltext		 Films Media Group,									100007652	RAW
Heroin new high school high /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7660	ABC News Productions.			fulltext		 Films Media Group,									100007660	RAW
Organic disorders									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7661	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007661	RAW
Disorders due to psychoactive substance abuse									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7662	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007662	RAW
Divided City The Route to Racism /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7674	ABC News Productions.			fulltext		 Films Media Group,									100007674	RAW
Changing lives									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7682	Moyers, Bill D.			fulltext		 Films Media Group,									100007682	RAW
Obsessive-compulsive disorder alternative treatment /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7688	ABC News Productions.			fulltext		 Films Media Group,									100007688	RAW
Julius Caesar critical guide /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7708	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100007708	RAW
Hamlet critical guide /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7709	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100007709	RAW
Othello critical guide /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7710	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100007710	RAW
King Lear critical guide /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7711	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100007711	RAW
Bonding in metals									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7744	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007744	RAW
Bonding between molecules									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7745	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007745	RAW
Ionic bonding									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7746	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007746	RAW
Bonding in molecules									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7747	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007747	RAW
Faust man and legend /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7757	Deutsche Welle.			fulltext		 Films Media Group,									100007757	RAW
Color									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7763	Arts Council of England.			fulltext		 Films Media Group,									100007763	RAW
Composition									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7765	Arts Council of England.			fulltext		 Films Media Group,									100007765	RAW
Goethe in Weimar									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7781	Deutsche Welle.			fulltext		 Films Media Group,									100007781	RAW
Claude Monet									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7790	ARTE France.			fulltext		 Films Media Group,									100007790	RAW
Labor's comeback labor's man on the board /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7819	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007819	RAW
Labor's comeback in-sourcing work at Northwest Airlines /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7821	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007821	RAW
Management combines forces with unions Northwest Airlines /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7827	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007827	RAW
Cutting to the core Albert J. Dunlap /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7828	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007828	RAW
Challenge cases for differential diagnosis									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7847	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007847	RAW
Mood Disorders									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7848	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007848	RAW
Neurotic, stress-related, and somatoform disorders									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7849	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007849	RAW
Female circumcision human rites /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7854	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007854	RAW
God's earth call for environmental stewardship /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7856	ABC International.			fulltext		 Films Media Group,									100007856	RAW
A Tale of two cities									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7891	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100007891	RAW
By River, by rail history of the black migration /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7895	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007895	RAW
Margaret Sanger									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7917	Cobblestone Films.			fulltext		 Films Media Group,									100007917	RAW
Anatomy of the human brain									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7920	EBS Trust (Firm)			fulltext		 Films Media Group,									100007920	RAW
Global capitalism and the moral imperative									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7931	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007931	RAW
E. coli case of the mysterious microbe /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7945	EBS Trust (Firm)			fulltext		 Films Media Group,									100007945	RAW
Allen Ginsberg and friends									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7951	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007951	RAW
About time									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7978	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100007978	RAW
Laser technology fiber optics /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7983	Nordeck, Charlie.			fulltext		 Films Media Group,									100007983	RAW
Bill of rights bill of responsibility /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7984	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007984	RAW
Latin and African Americans friends or foes? /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7988	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007988	RAW
Hispanic education at the crossroads									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7989	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007989	RAW
Hispanics in the media									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7991	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007991	RAW
Hispanic Americans second generation /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7992	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007992	RAW
Hispanic entrepreneurs against all odds /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7993	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007993	RAW
Hispanic Americans one or many cultures? /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=7994	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100007994	RAW
Exceptional interviewing tips view from the inside /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8006	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008006	RAW
Extraordinary answers to common interview questions									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8013	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008013	RAW
Graphic designer									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8018	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008018	RAW
May I help you? commendable customer service									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8025	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008025	RAW
Missing persons drunk driving holocaust /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8035	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008035	RAW
If I'm elected modern campaign techniques /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8044	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008044	RAW
Forms of government what's the score? /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8047	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008047	RAW
Organizing America history of trade unions /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8049	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008049	RAW
Distance learning great controversy /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8056	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008056	RAW
Learning From Socrates to Cyberspace /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8057	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008057	RAW
How a bill becomes a law									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8094	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008094	RAW
Amendment 2 right to bear arms /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8101	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008101	RAW
Amendment 3 quartering of troops /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8102	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008102	RAW
Amendment 4 unreasonable search and seizure /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8103	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008103	RAW
Amendments 5 8 justice amendments /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8104	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008104	RAW
Amendment 9 reserved rights of people /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8105	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008105	RAW
Amendment 10 powers reserved to states /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8106	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008106	RAW
Amendments 18 and 21 prohibition and repeal /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8107	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008107	RAW
Amendment 19 women's right to vote /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8108	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008108	RAW
Amendment 20 terms of president, vice president, and congress /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8109	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008109	RAW
Amendment 23 D.C. Voting /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8110	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008110	RAW
Amendment 26 voting for 18-year-olds /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8111	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008111	RAW
Amendment 27 congressional pay raises /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8112	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008112	RAW
Effective use of the telephone in your job search									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8113	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008113	RAW
Amendment 11 barring suits against states in federal court /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8119	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008119	RAW
Amendments 12, 22, and 25 presidential amendments /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8120	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008120	RAW
Amendment 13 abolition of slavery /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8121	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008121	RAW
Amendment 14 civil rights of citizens /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8122	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008122	RAW
Amendments 15 and 24 rights of citizens to vote/poll tax /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8123	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008123	RAW
Amendment 16 federal income tax /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8124	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008124	RAW
Amendment 17 elections of U.S. Senators /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8125	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008125	RAW
Epilepsy storm within /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8140	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008140	RAW
Images of India social studies primer /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8144	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008144	RAW
Approach of dawn forging peace in Guatemala /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8146	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008146	RAW
Handling stress today and tomorrow /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8150	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008150	RAW
Aerospace technology space shuttle /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8153	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008153	RAW
Grounded for life teenage pregnancy /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8156	Eastern Illinois University.			fulltext		 Films Media Group,									100008156	RAW
Obesity pain and prejudice /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8161	CTVC (Firm)			fulltext		 Films Media Group,									100008161	RAW
Circulatory system plasma pipeline /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8163	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008163	RAW
Digestive system your personal power plant /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8164	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008164	RAW
Brain and nervous system your information superhighway /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8165	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008165	RAW
Muscular system at work inner athlete /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8167	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008167	RAW
Going it alone preparing for single parenthood /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8171	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008171	RAW
Immunizations									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8175	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008175	RAW
Dental care for kids									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8176	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008176	RAW
Kids having kids teenage pregnancy /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8190	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008190	RAW
Kids raising kids teenage parenthood /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8191	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008191	RAW
AIDS biological perspective /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8220	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008220	RAW
Cells introduction /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8229	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008229	RAW
Cell Functions closer look /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8230	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008230	RAW
Is It sexual harassment?									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8244	Cambridge Educational (Firm)			fulltext		 Films Media Group,									100008244	RAW
From here to self-esteem road map for parents of young children /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8245	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008245	RAW
Charlotte Perkins Gilman yellow wallpaper /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8271	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100008271	RAW
Film Industry									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8272	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008272	RAW
Film History									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8273	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008273	RAW
Crescent and cross rise of Islam and age of crusades /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8311	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008311	RAW
Holy Days Christian and Jewish feasts and rituals /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8314	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008314	RAW
A Separate peace Hinduism, Buddhism, Taoism, and Shintoism /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8315	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008315	RAW
Changing Christianity from schism to ecumenism /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8316	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008316	RAW
Different paths shamanism, cults, and religion on demand /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8317	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008317	RAW
Africa to America to Paris migration of black writers /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8321	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008321	RAW
Introduction and sacred space									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8339	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008339	RAW
Juvenile sex offenders voices unheard /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8347	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008347	RAW
Irish civil war madness from within /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8348	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008348	RAW
Computer architecture									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8351	EBS Trust (Firm)			fulltext		 Films Media Group,									100008351	RAW
Animated neuroscience and the action of nicotine, cocaine, and marijuana in the brain									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8352	Cajal medical.			fulltext		 Films Media Group,									100008352	RAW
Chronic anxiety in the elderly									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8355	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008355	RAW
Clarin Leopoldo Alas la regenta /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8369	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008369	RAW
Goya									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8370	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008370	RAW
Federico García Lorca remembering the earth /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8372	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008372	RAW
El Cantar de mio cid									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8388	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008388	RAW
Out of Asia new theories on evolution /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8426	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100008426	RAW
Kashmir valley of despair /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8438	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008438	RAW
Culture of Human Fibroblasts									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8445	EBS Trust (Firm)			fulltext		 Films Media Group,									100008445	RAW
Monoclonal antibodies									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8447	EBS Trust (Firm)			fulltext		 Films Media Group,									100008447	RAW
Hand-me-down genes how genes work /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8450	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008450	RAW
Hand-me-down genes family patterns /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8451	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008451	RAW
Festival of dreams									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8453	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008453	RAW
Motor development									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8456	Pokorni, Judith L.			fulltext		 Films Media Group,									100008456	RAW
Constructive communications talking your way to success /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8476	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008476	RAW
Effective listening skills listening to what you hear /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8478	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008478	RAW
Broadcast television									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8514	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008514	RAW
Cable TV and beyond									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8515	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008515	RAW
Media history									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8517	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008517	RAW
Images in media									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8518	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008518	RAW
Media convergence									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8520	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008520	RAW
Mass Media in society									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8521	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008521	RAW
Media rights and responsibilities									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8522	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008522	RAW
Media ethics									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8523	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008523	RAW
Media impact									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8524	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008524	RAW
Audience and feedback									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8525	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008525	RAW
Global media									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8526	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008526	RAW
Asian values devalued									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8529	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008529	RAW
Mind talk Brain's new story /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8554	Drake/Conquest.			fulltext		 Films Media Group,									100008554	RAW
Newspaper industry									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8557	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008557	RAW
Magazine industry									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8558	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008558	RAW
Book Industry									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8559	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008559	RAW
Advertising									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8569	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008569	RAW
Beyond the blue life as a female police officer /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8572	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008572	RAW
Joseph Conrad heart of darkness /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8589	Bride Media International.			fulltext		 Films Media Group,									100008589	RAW
Chimp talk									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8593	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008593	RAW
African art legacy of oppression /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8612	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008612	RAW
Microsoft vs. the justice department playing monopoly /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8621	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008621	RAW
Jesus from carpenter to preacher /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8628	CTVC (Firm)			fulltext		 Films Media Group,									100008628	RAW
Jesus gathers a following									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8629	CTVC (Firm)			fulltext		 Films Media Group,									100008629	RAW
Cluny light in the night /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8636	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008636	RAW
Asperger's syndrome autism and obsessive behavior /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8646	BBC Worldwide Ltd.			fulltext		 Films Media Group,									100008646	RAW
Early English aloud and alive language of Beowulf, Chaucer, and Shakespeare /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8653	Caritas Productions.			fulltext		 Films Media Group,									100008653	RAW
Geoffrey Chaucer Canterbury tales /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8657	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100008657	RAW
Beowulf and the roots of Anglo-Saxon poetry									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8669	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100008669	RAW
Charlotte Bronte Jane Eyre /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=8671	Eagle Rock Entertainment.			fulltext		 Films Media Group,									100008671	RAW
